,Postion on chart,Titles,Artists,Weeks,lastPosition,chart_release_date
0,1,Humble.,Kendrick Lamar,3,3,5/1/17
1,2,Shape Of You,Ed Sheeran,15,1,5/1/17
2,3,That's What I Like,Bruno Mars,14,2,5/1/17
3,4,DNA.,Kendrick Lamar,1,0,5/1/17
4,5,Mask Off,Future,9,7,5/1/17
5,6,iSpy,KYLE Featuring Lil Yachty,17,6,5/1/17
6,7,Stay,Zedd & Alessia Cara,8,14,5/1/17
7,8,Something Just Like This,The Chainsmokers & Coldplay,9,5,5/1/17
8,9,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,14,48,5/1/17
9,10,XO TOUR Llif3,Lil Uzi Vert,4,8,5/1/17
10,11,Body Like A Back Road,Sam Hunt,12,9,5/1/17
11,12,Issues,Julia Michaels,13,12,5/1/17
12,13,It Ain't Me,Kygo x Selena Gomez,10,11,5/1/17
13,14,Loyalty.,Kendrick Lamar Featuring Rihanna,1,0,5/1/17
14,15,Congratulations,Post Malone Featuring Quavo,17,19,5/1/17
15,16,Element.,Kendrick Lamar,1,0,5/1/17
16,17,Say You Won't Let Go,James Arthur,26,16,5/1/17
17,18,Love.,Kendrick Lamar Featuring Zacari,1,0,5/1/17
18,19,Paris,The Chainsmokers,14,10,5/1/17
19,20,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,20,13,5/1/17
20,21,Tunnel Vision,Kodak Black,9,15,5/1/17
21,22,Sign Of The Times,Harry Styles,2,4,5/1/17
22,23,Cold,Maroon 5 Featuring Future,10,21,5/1/17
23,24,I Feel It Coming,The Weeknd Featuring Daft Punk,22,17,5/1/17
24,25,Location,Khalid,15,20,5/1/17
25,26,Bad And Boujee,Migos Featuring Lil Uzi Vert,23,18,5/1/17
26,27,Passionfruit,Drake,5,22,5/1/17
27,28,Closer,The Chainsmokers Featuring Halsey,38,23,5/1/17
28,29,T-Shirt,Migos,14,28,5/1/17
29,30,Bounce Back,Big Sean,24,25,5/1/17
30,31,Love On The Brain,Rihanna,27,24,5/1/17
31,32,Yah.,Kendrick Lamar,1,0,5/1/17
32,33,XXX.,Kendrick Lamar Featuring U2,1,0,5/1/17
33,34,Swang,Rae Sremmurd,18,29,5/1/17
34,35,Feel.,Kendrick Lamar,1,0,5/1/17
35,36,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,19,26,5/1/17
36,37,Pride.,Kendrick Lamar,1,0,5/1/17
37,38,Chained To The Rhythm,Katy Perry Featuring Skip Marley,10,27,5/1/17
38,39,The Cure,Lady Gaga,1,0,5/1/17
39,40,Rolex,Ayo & Teo,10,32,5/1/17
40,41,24K Magic,Bruno Mars,28,30,5/1/17
41,42,Lust.,Kendrick Lamar,1,0,5/1/17
42,43,Scars To Your Beautiful,Alessia Cara,34,31,5/1/17
43,44,Slide,Calvin Harris Featuring Frank Ocean & Migos,8,36,5/1/17
44,45,In Case You Didn't Know,Brett Young,11,40,5/1/17
45,46,Goosebumps,Travis Scott,23,43,5/1/17
46,47,Can't Stop The Feeling!,Justin Timberlake,50,33,5/1/17
47,48,Both,Gucci Mane Featuring Drake,18,44,5/1/17
48,49,Mercy,Shawn Mendes,31,34,5/1/17
49,50,Fear.,Kendrick Lamar,1,0,5/1/17
50,51,Believer,Imagine Dragons,11,47,5/1/17
51,52,Look At Me!,XXXTENTACION,11,37,5/1/17
52,53,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,5,42,5/1/17
53,54,Blood.,Kendrick Lamar,1,0,5/1/17
54,55,Hurricane,Luke Combs,10,51,5/1/17
55,56,Redbone,Childish Gambino,20,49,5/1/17
56,57,Down,Marian Hill,14,35,5/1/17
57,58,God.,Kendrick Lamar,1,0,5/1/17
58,59,Unforgettable,French Montana Featuring Swae Lee,2,74,5/1/17
59,60,Portland,Drake Featuring Quavo & Travis Scott,5,41,5/1/17
60,61,Castle On The Hill,Ed Sheeran,15,57,5/1/17
61,62,Dirt On My Boots,Jon Pardi,20,45,5/1/17
62,63,Duckworth.,Kendrick Lamar,1,0,5/1/17
63,64,Hometown Girl,Josh Turner,8,56,5/1/17
64,65,How Far I'll Go,Auli'i Cravalho,19,60,5/1/17
65,66,Now Or Never,Halsey,2,50,5/1/17
66,67,The Fighter,Keith Urban Featuring Carrie Underwood,11,53,5/1/17
67,68,Heavy,Linkin Park Featuring Kiiara,9,58,5/1/17
68,69,Any Ol' Barstool,Jason Aldean,13,52,5/1/17
69,70,Shining,DJ Khaled Featuring Beyonce & JAY Z,10,59,5/1/17
70,71,Party,Chris Brown Featuring Usher & Gucci Mane,18,55,5/1/17
71,72,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,3,75,5/1/17
72,73,Cake,Flo Rida & 99 Percent,2,89,5/1/17
73,74,Green Light,Lorde,8,54,5/1/17
74,75,Black,Dierks Bentley,11,61,5/1/17
75,76,Good Life,G-Eazy & Kehlani,1,0,5/1/17
76,77,The Weekend,Brantley Gilbert,16,64,5/1/17
77,78,Peek A Boo,Lil Yachty Featuring Migos,1,0,5/1/17
78,79,Losin Control,Russ,8,63,5/1/17
79,80,No Frauds,"Nicki Minaj, Drake & Lil Wayne",6,87,5/1/17
80,81,Yeah Boy,Kelsea Ballerini,9,73,5/1/17
81,82,"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,4,68,5/1/17
82,83,Call On Me,Starley,16,65,5/1/17
83,84,Moves,Big Sean,17,67,5/1/17
84,85,Fast,Luke Bryan,13,66,5/1/17
85,86,First Day Out,Tee Grizzley,3,76,5/1/17
86,87,Black SpiderMan,Logic Featuring Damian Lemar Hudson,1,0,5/1/17
87,88,Selfish,Future Featuring Rihanna,8,69,5/1/17
88,89,Deja Vu,J. Cole,19,71,5/1/17
89,90,Everyday We Lit,YFN Lucci Featuring PnB Rock,2,79,5/1/17
90,91,Scared To Be Lonely,Martin Garrix & Dua Lipa,7,80,5/1/17
91,92,Gyalchester,Drake,5,62,5/1/17
92,93,Broken Halos,Chris Stapleton,1,0,5/1/17
93,94,Weak,AJR,2,97,5/1/17
94,95,How Not To,Dan + Shay,3,86,5/1/17
95,96,Good Drank,2 Chainz x Gucci Mane x Quavo,6,82,5/1/17
96,97,You Look Good,Lady Antebellum,3,85,5/1/17
97,98,At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,3,94,5/1/17
98,99,The Night We Met,Lord Huron,1,0,5/1/17
99,100,Craving You,Thomas Rhett Featuring Maren Morris,3,81,5/1/17
100,1,That's What I Like,Bruno Mars,15,3,5/8/17
101,2,Shape Of You,Ed Sheeran,16,2,5/8/17
102,3,Humble.,Kendrick Lamar,4,1,5/8/17
103,4,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,15,9,5/8/17
104,5,Mask Off,Future,10,5,5/8/17
105,6,Something Just Like This,The Chainsmokers & Coldplay,10,8,5/8/17
106,7,DNA.,Kendrick Lamar,2,4,5/8/17
107,8,iSpy,KYLE Featuring Lil Yachty,18,6,5/8/17
108,9,XO TOUR Llif3,Lil Uzi Vert,5,10,5/8/17
109,10,It Ain't Me,Kygo x Selena Gomez,11,13,5/8/17
110,11,Stay,Zedd & Alessia Cara,9,7,5/8/17
111,12,Body Like A Back Road,Sam Hunt,13,11,5/8/17
112,13,Say You Won't Let Go,James Arthur,27,17,5/8/17
113,14,Issues,Julia Michaels,14,12,5/8/17
114,15,Congratulations,Post Malone Featuring Quavo,18,15,5/8/17
115,16,Location,Khalid,16,25,5/8/17
116,17,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,21,20,5/8/17
117,18,Passionfruit,Drake,6,27,5/8/17
118,19,Paris,The Chainsmokers,15,19,5/8/17
119,20,Tunnel Vision,Kodak Black,10,21,5/8/17
120,21,I Feel It Coming,The Weeknd Featuring Daft Punk,23,24,5/8/17
121,22,Bad And Boujee,Migos Featuring Lil Uzi Vert,24,26,5/8/17
122,23,Closer,The Chainsmokers Featuring Halsey,39,28,5/8/17
123,24,T-Shirt,Migos,15,29,5/8/17
124,25,Sign Of The Times,Harry Styles,3,22,5/8/17
125,26,Swang,Rae Sremmurd,19,34,5/8/17
126,27,Love.,Kendrick Lamar Featuring Zacari,2,18,5/8/17
127,28,Cold,Maroon 5 Featuring Future,11,23,5/8/17
128,29,Love On The Brain,Rihanna,28,31,5/8/17
129,30,Slide,Calvin Harris Featuring Frank Ocean & Migos,9,44,5/8/17
130,31,Bounce Back,Big Sean,25,30,5/8/17
131,32,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,20,36,5/8/17
132,33,Loyalty.,Kendrick Lamar Featuring Rihanna,2,14,5/8/17
133,34,In Case You Didn't Know,Brett Young,12,45,5/8/17
134,35,24K Magic,Bruno Mars,29,41,5/8/17
135,36,Element.,Kendrick Lamar,2,16,5/8/17
136,37,Believer,Imagine Dragons,12,51,5/8/17
137,38,Can't Stop The Feeling!,Justin Timberlake,51,47,5/8/17
138,39,Rolex,Ayo & Teo,11,40,5/8/17
139,40,Scars To Your Beautiful,Alessia Cara,35,43,5/8/17
140,41,Hurricane,Luke Combs,11,55,5/8/17
141,42,Goosebumps,Travis Scott,24,46,5/8/17
142,43,Both,Gucci Mane Featuring Drake,19,48,5/8/17
143,44,There's Nothing Holdin' Me Back,Shawn Mendes,1,0,5/8/17
144,45,Redbone,Childish Gambino,21,56,5/8/17
145,46,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,6,53,5/8/17
146,47,Castle On The Hill,Ed Sheeran,16,61,5/8/17
147,48,Mercy,Shawn Mendes,32,49,5/8/17
148,49,Look At Me!,XXXTENTACION,12,52,5/8/17
149,50,Unforgettable,French Montana Featuring Swae Lee,3,59,5/8/17
150,51,Chained To The Rhythm,Katy Perry Featuring Skip Marley,11,38,5/8/17
151,52,Now Or Never,Halsey,3,66,5/8/17
152,53,Portland,Drake Featuring Quavo & Travis Scott,6,60,5/8/17
153,54,Heavy,Linkin Park Featuring Kiiara,10,68,5/8/17
154,55,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,4,72,5/8/17
155,56,XXX.,Kendrick Lamar Featuring U2,2,33,5/8/17
156,57,Shining,DJ Khaled Featuring Beyonce & JAY Z,11,70,5/8/17
157,58,Down,Marian Hill,15,57,5/8/17
158,59,Good Life,G-Eazy & Kehlani,2,76,5/8/17
159,60,The Fighter,Keith Urban Featuring Carrie Underwood,12,67,5/8/17
160,61,Hometown Girl,Josh Turner,9,64,5/8/17
161,62,The Cure,Lady Gaga,2,39,5/8/17
162,63,At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,4,98,5/8/17
163,64,Lust For Life,Lana Del Rey Featuring The Weeknd,1,0,5/8/17
164,65,Yah.,Kendrick Lamar,2,32,5/8/17
165,66,Black,Dierks Bentley,12,75,5/8/17
166,67,Any Ol' Barstool,Jason Aldean,14,69,5/8/17
167,68,Attention,Charlie Puth,1,0,5/8/17
168,69,Feel.,Kendrick Lamar,2,35,5/8/17
169,70,The Weekend,Brantley Gilbert,17,77,5/8/17
170,71,Pride.,Kendrick Lamar,2,37,5/8/17
171,72,Prblms,6LACK,5,0,5/8/17
172,73,Yeah Boy,Kelsea Ballerini,10,81,5/8/17
173,74,"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,5,82,5/8/17
174,75,Lust.,Kendrick Lamar,2,42,5/8/17
175,76,Party,Chris Brown Featuring Usher & Gucci Mane,19,71,5/8/17
176,77,Losin Control,Russ,9,79,5/8/17
177,78,Cake,Flo Rida & 99 Percent,3,73,5/8/17
178,79,First Day Out,Tee Grizzley,4,86,5/8/17
179,80,Call On Me,Starley,17,83,5/8/17
180,81,Still Got Time,Zayn Featuring PARTYNEXTDOOR,3,0,5/8/17
181,82,Everyday We Lit,YFN Lucci Featuring PnB Rock,3,90,5/8/17
182,83,Scared To Be Lonely,Martin Garrix & Dua Lipa,8,91,5/8/17
183,84,The Night We Met,Lord Huron,2,99,5/8/17
184,85,How Not To,Dan + Shay,4,95,5/8/17
185,86,Green Light,Lorde,9,74,5/8/17
186,87,Do Re Mi,blackbear,1,0,5/8/17
187,88,Moves,Big Sean,18,84,5/8/17
188,89,How Far I'll Go,Auli'i Cravalho,20,65,5/8/17
189,90,Hard Times,Paramore,1,0,5/8/17
190,91,Fear.,Kendrick Lamar,2,50,5/8/17
191,92,Craving You,Thomas Rhett Featuring Maren Morris,4,100,5/8/17
192,93,My Girl,Dylan Scott,1,0,5/8/17
193,94,If I Told You,Darius Rucker,2,0,5/8/17
194,95,No Frauds,"Nicki Minaj, Drake & Lil Wayne",7,80,5/8/17
195,96,God.,Kendrick Lamar,2,58,5/8/17
196,97,Gyalchester,Drake,6,92,5/8/17
197,98,Selfish,Future Featuring Rihanna,9,88,5/8/17
198,99,Good Drank,2 Chainz x Gucci Mane x Quavo,7,96,5/8/17
199,100,Deja Vu,J. Cole,20,89,5/8/17
200,1,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1,0,5/15/17
201,2,That's What I Like,Bruno Mars,16,1,5/15/17
202,3,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,16,4,5/15/17
203,4,Humble.,Kendrick Lamar,5,3,5/15/17
204,5,Shape Of You,Ed Sheeran,17,2,5/15/17
205,6,Something Just Like This,The Chainsmokers & Coldplay,11,6,5/15/17
206,7,Mask Off,Future,11,5,5/15/17
207,8,iSpy,KYLE Featuring Lil Yachty,19,8,5/15/17
208,9,XO TOUR Llif3,Lil Uzi Vert,6,9,5/15/17
209,10,It Ain't Me,Kygo x Selena Gomez,12,10,5/15/17
210,11,Stay,Zedd & Alessia Cara,10,11,5/15/17
211,12,DNA.,Kendrick Lamar,3,7,5/15/17
212,13,Say You Won't Let Go,James Arthur,28,13,5/15/17
213,14,Issues,Julia Michaels,15,14,5/15/17
214,15,Body Like A Back Road,Sam Hunt,14,12,5/15/17
215,16,Congratulations,Post Malone Featuring Quavo,19,15,5/15/17
216,17,Location,Khalid,17,16,5/15/17
217,18,Passionfruit,Drake,7,18,5/15/17
218,19,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,22,17,5/15/17
219,20,Believer,Imagine Dragons,13,37,5/15/17
220,21,Tunnel Vision,Kodak Black,11,20,5/15/17
221,22,Bad And Boujee,Migos Featuring Lil Uzi Vert,25,22,5/15/17
222,23,Closer,The Chainsmokers Featuring Halsey,40,23,5/15/17
223,24,Paris,The Chainsmokers,16,19,5/15/17
224,25,T-Shirt,Migos,16,24,5/15/17
225,26,I Feel It Coming,The Weeknd Featuring Daft Punk,24,21,5/15/17
226,27,Swang,Rae Sremmurd,20,26,5/15/17
227,28,Sign Of The Times,Harry Styles,4,25,5/15/17
228,29,Cold,Maroon 5 Featuring Future,12,28,5/15/17
229,30,Slide,Calvin Harris Featuring Frank Ocean & Migos,10,30,5/15/17
230,31,In Case You Didn't Know,Brett Young,13,34,5/15/17
231,32,Goosebumps,Travis Scott,25,42,5/15/17
232,33,Rolex,Ayo & Teo,12,39,5/15/17
233,34,Hurricane,Luke Combs,12,41,5/15/17
234,35,24K Magic,Bruno Mars,30,35,5/15/17
235,36,Love On The Brain,Rihanna,29,29,5/15/17
236,37,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,21,32,5/15/17
237,38,Now Or Never,Halsey,4,52,5/15/17
238,39,Can't Stop The Feeling!,Justin Timberlake,52,38,5/15/17
239,40,Bounce Back,Big Sean,26,31,5/15/17
240,41,Both,Gucci Mane Featuring Drake,20,43,5/15/17
241,42,Unforgettable,French Montana Featuring Swae Lee,4,50,5/15/17
242,43,Love.,Kendrick Lamar Featuring Zacari,3,27,5/15/17
243,44,Redbone,Childish Gambino,22,45,5/15/17
244,45,Scars To Your Beautiful,Alessia Cara,36,40,5/15/17
245,46,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,7,46,5/15/17
246,47,Castle On The Hill,Ed Sheeran,17,47,5/15/17
247,48,Look At Me!,XXXTENTACION,13,49,5/15/17
248,49,There's Nothing Holdin' Me Back,Shawn Mendes,2,44,5/15/17
249,50,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,5,55,5/15/17
250,51,Loyalty.,Kendrick Lamar Featuring Rihanna,3,33,5/15/17
251,52,Element.,Kendrick Lamar,3,36,5/15/17
252,53,Heavy,Linkin Park Featuring Kiiara,11,54,5/15/17
253,54,Portland,Drake Featuring Quavo & Travis Scott,7,53,5/15/17
254,55,The Cure,Lady Gaga,3,62,5/15/17
255,56,The Fighter,Keith Urban Featuring Carrie Underwood,13,60,5/15/17
256,57,Black,Dierks Bentley,13,66,5/15/17
257,58,Hometown Girl,Josh Turner,10,61,5/15/17
258,59,Good Life,G-Eazy & Kehlani,3,59,5/15/17
259,60,At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,5,63,5/15/17
260,61,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,1,0,5/15/17
261,62,If I Told You,Darius Rucker,3,94,5/15/17
262,63,Shining,DJ Khaled Featuring Beyonce & JAY Z,12,57,5/15/17
263,64,Attention,Charlie Puth,2,68,5/15/17
264,65,Yeah Boy,Kelsea Ballerini,11,73,5/15/17
265,66,The Weekend,Brantley Gilbert,18,70,5/15/17
266,67,First Time,Kygo & Ellie Goulding,1,0,5/15/17
267,68,Losin Control,Russ,10,77,5/15/17
268,69,"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,6,74,5/15/17
269,70,Thunder,Imagine Dragons,1,0,5/15/17
270,71,First Day Out,Tee Grizzley,5,79,5/15/17
271,72,Any Ol' Barstool,Jason Aldean,15,67,5/15/17
272,73,Down,Marian Hill,16,58,5/15/17
273,74,Chained To The Rhythm,Katy Perry Featuring Skip Marley,12,51,5/15/17
274,75,Everyday We Lit,YFN Lucci Featuring PnB Rock,4,82,5/15/17
275,76,Bon Appetit,Katy Perry Featuring Migos,1,0,5/15/17
276,77,Cake,Flo Rida & 99 Percent,4,78,5/15/17
277,78,Prblms,6LACK,6,72,5/15/17
278,79,XXX.,Kendrick Lamar Featuring U2,3,56,5/15/17
279,80,Party,Chris Brown Featuring Usher & Gucci Mane,20,76,5/15/17
280,81,Scared To Be Lonely,Martin Garrix & Dua Lipa,9,83,5/15/17
281,82,How Not To,Dan + Shay,5,85,5/15/17
282,83,Craving You,Thomas Rhett Featuring Maren Morris,5,92,5/15/17
283,84,Human,Rag'n'Bone Man,2,0,5/15/17
284,85,My Girl,Dylan Scott,2,93,5/15/17
285,86,The Night We Met,Lord Huron,3,84,5/15/17
286,87,Privacy,Chris Brown,1,0,5/15/17
287,88,Good Drank,2 Chainz x Gucci Mane x Quavo,8,99,5/15/17
288,89,Yah.,Kendrick Lamar,3,65,5/15/17
289,90,Slow Hands,Niall Horan,1,0,5/15/17
290,91,Magnolia,Playboi Carti,1,0,5/15/17
291,92,Do Re Mi,blackbear,2,87,5/15/17
292,93,Sweet Creature,Harry Styles,1,0,5/15/17
293,94,You Look Good,Lady Antebellum,4,0,5/15/17
294,95,Selfish,Future Featuring Rihanna,10,98,5/15/17
295,96,El Amante,Nicky Jam,6,0,5/15/17
296,97,Call On Me,Starley,18,80,5/15/17
297,98,Flatliner,Cole Swindell,2,0,5/15/17
298,99,You're Welcome,Dwayne Johnson,13,0,5/15/17
299,100,Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,1,0,5/15/17
300,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,17,3,5/22/17
301,2,That's What I Like,Bruno Mars,17,2,5/22/17
302,3,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2,1,5/22/17
303,4,Shape Of You,Ed Sheeran,18,5,5/22/17
304,5,Humble.,Kendrick Lamar,6,4,5/22/17
305,6,Mask Off,Future,12,7,5/22/17
306,7,Something Just Like This,The Chainsmokers & Coldplay,12,6,5/22/17
307,8,XO TOUR Llif3,Lil Uzi Vert,7,9,5/22/17
308,9,Stay,Zedd & Alessia Cara,11,11,5/22/17
309,10,iSpy,KYLE Featuring Lil Yachty,20,8,5/22/17
310,11,It Ain't Me,Kygo x Selena Gomez,13,10,5/22/17
311,12,Congratulations,Post Malone Featuring Quavo,20,16,5/22/17
312,13,Say You Won't Let Go,James Arthur,29,13,5/22/17
313,14,Issues,Julia Michaels,16,14,5/22/17
314,15,Body Like A Back Road,Sam Hunt,15,15,5/22/17
315,16,DNA.,Kendrick Lamar,4,12,5/22/17
316,17,Location,Khalid,18,17,5/22/17
317,18,Sign Of The Times,Harry Styles,5,28,5/22/17
318,19,Passionfruit,Drake,8,18,5/22/17
319,20,Believer,Imagine Dragons,14,20,5/22/17
320,21,Bad And Boujee,Migos Featuring Lil Uzi Vert,26,22,5/22/17
321,22,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,23,19,5/22/17
322,23,Tunnel Vision,Kodak Black,12,21,5/22/17
323,24,In Case You Didn't Know,Brett Young,14,31,5/22/17
324,25,Closer,The Chainsmokers Featuring Halsey,41,23,5/22/17
325,26,T-Shirt,Migos,17,25,5/22/17
326,27,Swang,Rae Sremmurd,21,27,5/22/17
327,28,Slide,Calvin Harris Featuring Frank Ocean & Migos,11,30,5/22/17
328,29,Unforgettable,French Montana Featuring Swae Lee,5,42,5/22/17
329,30,Rolex,Ayo & Teo,13,33,5/22/17
330,31,Hurricane,Luke Combs,13,34,5/22/17
331,32,Now Or Never,Halsey,5,38,5/22/17
332,33,Goosebumps,Travis Scott,26,32,5/22/17
333,34,Cold,Maroon 5 Featuring Future,13,29,5/22/17
334,35,24K Magic,Bruno Mars,31,35,5/22/17
335,36,Redbone,Childish Gambino,23,44,5/22/17
336,37,Paris,The Chainsmokers,17,24,5/22/17
337,38,Castle On The Hill,Ed Sheeran,18,47,5/22/17
338,39,Love On The Brain,Rihanna,30,36,5/22/17
339,40,There's Nothing Holdin' Me Back,Shawn Mendes,3,49,5/22/17
340,41,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,8,46,5/22/17
341,42,Scars To Your Beautiful,Alessia Cara,37,45,5/22/17
342,43,Both,Gucci Mane Featuring Drake,21,41,5/22/17
343,44,I Feel It Coming,The Weeknd Featuring Daft Punk,25,26,5/22/17
344,45,Bounce Back,Big Sean,27,40,5/22/17
345,46,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,22,37,5/22/17
346,47,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2,61,5/22/17
347,48,Love.,Kendrick Lamar Featuring Zacari,4,43,5/22/17
348,49,The Cure,Lady Gaga,4,55,5/22/17
349,50,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,6,50,5/22/17
350,51,Heavy,Linkin Park Featuring Kiiara,12,53,5/22/17
351,52,Slow Hands,Niall Horan,2,90,5/22/17
352,53,Attention,Charlie Puth,3,64,5/22/17
353,54,Look At Me!,XXXTENTACION,14,48,5/22/17
354,55,Portland,Drake Featuring Quavo & Travis Scott,8,54,5/22/17
355,56,Slippery,Migos Featuring Gucci Mane,7,0,5/22/17
356,57,Loyalty.,Kendrick Lamar Featuring Rihanna,4,51,5/22/17
357,58,Black,Dierks Bentley,14,57,5/22/17
358,59,The Fighter,Keith Urban Featuring Carrie Underwood,14,56,5/22/17
359,60,If I Told You,Darius Rucker,4,62,5/22/17
360,61,Element.,Kendrick Lamar,4,52,5/22/17
361,62,Losin Control,Russ,11,68,5/22/17
362,63,Magnolia,Playboi Carti,2,91,5/22/17
363,64,Malibu,Miley Cyrus,1,0,5/22/17
364,65,"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,7,69,5/22/17
365,66,Yeah Boy,Kelsea Ballerini,12,65,5/22/17
366,67,First Day Out,Tee Grizzley,6,71,5/22/17
367,68,The Weekend,Brantley Gilbert,19,66,5/22/17
368,69,Everyday We Lit,YFN Lucci Featuring PnB Rock,5,75,5/22/17
369,70,Craving You,Thomas Rhett Featuring Maren Morris,6,83,5/22/17
370,71,Everybody,Logic,2,0,5/22/17
371,72,Hometown Girl,Josh Turner,11,58,5/22/17
372,73,Good Life,G-Eazy & Kehlani,4,59,5/22/17
373,74,Human,Rag'n'Bone Man,3,84,5/22/17
374,75,How Not To,Dan + Shay,6,82,5/22/17
375,76,Scared To Be Lonely,Martin Garrix & Dua Lipa,10,81,5/22/17
376,77,Privacy,Chris Brown,2,87,5/22/17
377,78,At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,6,60,5/22/17
378,79,Every Time I Hear That Song,Blake Shelton,1,0,5/22/17
379,80,Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,2,100,5/22/17
380,81,Prblms,6LACK,7,78,5/22/17
381,82,Any Ol' Barstool,Jason Aldean,16,72,5/22/17
382,83,My Girl,Dylan Scott,3,85,5/22/17
383,84,Cake,Flo Rida & 99 Percent,5,77,5/22/17
384,85,Shining,DJ Khaled Featuring Beyonce & JAY Z,13,63,5/22/17
385,86,Good Drank,2 Chainz x Gucci Mane x Quavo,9,88,5/22/17
386,87,Chained To The Rhythm,Katy Perry Featuring Skip Marley,13,74,5/22/17
387,88,Flatliner,Cole Swindell,3,98,5/22/17
388,89,Either Way,Chris Stapleton,1,0,5/22/17
389,90,You Look Good,Lady Antebellum,5,94,5/22/17
390,91,The Night We Met,Lord Huron,4,86,5/22/17
391,92,Thunder,Imagine Dragons,2,70,5/22/17
392,93,El Amante,Nicky Jam,7,96,5/22/17
393,94,Galway Girl,Ed Sheeran,5,0,5/22/17
394,95,Moves,Big Sean,19,0,5/22/17
395,96,Do Re Mi,blackbear,3,92,5/22/17
396,97,Drinkin' Problem,Midland,1,0,5/22/17
397,98,Gyalchester,Drake,7,0,5/22/17
398,99,Peek A Boo,Lil Yachty Featuring Migos,2,0,5/22/17
399,100,Down,Marian Hill,17,73,5/22/17
400,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,18,1,5/29/17
401,2,That's What I Like,Bruno Mars,18,2,5/29/17
402,3,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",3,3,5/29/17
403,4,Shape Of You,Ed Sheeran,19,4,5/29/17
404,5,Humble.,Kendrick Lamar,7,5,5/29/17
405,6,Something Just Like This,The Chainsmokers & Coldplay,13,7,5/29/17
406,7,Mask Off,Future,13,6,5/29/17
407,8,XO TOUR Llif3,Lil Uzi Vert,8,8,5/29/17
408,9,Stay,Zedd & Alessia Cara,12,9,5/29/17
409,10,Malibu,Miley Cyrus,2,64,5/29/17
410,11,Say You Won't Let Go,James Arthur,30,13,5/29/17
411,12,It Ain't Me,Kygo x Selena Gomez,14,11,5/29/17
412,13,Congratulations,Post Malone Featuring Quavo,21,12,5/29/17
413,14,Issues,Julia Michaels,17,14,5/29/17
414,15,iSpy,KYLE Featuring Lil Yachty,21,10,5/29/17
415,16,Body Like A Back Road,Sam Hunt,16,15,5/29/17
416,17,Sign Of The Times,Harry Styles,6,18,5/29/17
417,18,DNA.,Kendrick Lamar,5,16,5/29/17
418,19,Location,Khalid,19,17,5/29/17
419,20,Believer,Imagine Dragons,15,20,5/29/17
420,21,Passionfruit,Drake,9,19,5/29/17
421,22,Bad And Boujee,Migos Featuring Lil Uzi Vert,27,21,5/29/17
422,23,In Case You Didn't Know,Brett Young,15,24,5/29/17
423,24,Unforgettable,French Montana Featuring Swae Lee,6,29,5/29/17
424,25,Slide,Calvin Harris Featuring Frank Ocean & Migos,12,28,5/29/17
425,26,Tunnel Vision,Kodak Black,13,23,5/29/17
426,27,Closer,The Chainsmokers Featuring Halsey,42,25,5/29/17
427,28,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,24,22,5/29/17
